ID,Dispositivo,Marca,Modelo,Tipo,Componente_Fallido,Error_Especifico,Diagnostico,Severidad,Solucion_Recomendada,Estado,Costo_Estimado_USD,Tiempo_Reparacion_Horas
2000,Laptop,Dell,Precision 5680,Premium,RAM,Memoria insufficient al abrir aplicaciones pesadas,Diagnóstico general: Memoria insufficient al abrir aplicaciones pesadas. Se requiere revisión técnica especializada.,Media,Limpiar contactos con alcohol isopropílico. Reubicar módulos en slots diferentes.,En diagnóstico,96.88,4.3
2001,Laptop,Dell,XPS 15,2 en 1,Puertos,"Puerto de carga suelto, conexión intermitente","Diagnóstico general: Puerto de carga suelto, conexión intermitente. Se requiere revisión técnica especializada.",Crítica,Reemplazo de placa de puertos o motherboard. Daño irreparable en múltiples puertos.,Requiere reemplazo de componente,75.49,9.2
2002,Tablet,Huawei,MatePad T10,Gaming,GPU,GPU no detectada en Administrador de dispositivos,Problema de vídeo por GPU. GPU no detectada en Administrador de dispositivos. Verificar alimentación PCIe y conectores de poder.,Media,Reinstalar drivers con DDU. Verificar temperatura y ventilación de GPU.,Reparable,94.54,2.9
2003,Laptop,Acer,Aspire 5,2 en 1,Disco Duro/SSD,Disco muestra advertencia de fallo inminente,Diagnóstico general: Disco muestra advertencia de fallo inminente. Se requiere revisión técnica especializada.,Baja,Ejecutar optimización de disco. Liberar espacio en SSD para mejorar rendimiento.,Reparable,225.19,0.9
2004,Laptop,Dell,XPS 15,Workstation,RAM,"Beep code 2 pitidos, error de parity check en RAM","Problema de memoria. Beep code 2 pitidos, error de parity check en RAM. Revisar slots y limpieza de contactos con alcohol isopropílico.",Media,Limpiar contactos con alcohol isopropílico. Reubicar módulos en slots diferentes.,En diagnóstico,90.72,7.4
2005,Computadora,Huawei,MateStation B515,Mini PC,Pantalla,"Screen tearing constante, VSync no funciona","Diagnóstico general: Screen tearing constante, VSync no funciona. Se requiere revisión técnica especializada.",Alta,Reemplazar panel o componente de backlight. Cotizar reparación vs equipo nuevo.,Requiere reemplazo de componente,270.01,23.2
2006,Computadora,Custom/Genérica,PC Economica Ryzen 5,Mini PC,Disco Duro/SSD,"Ruidos de raspado en disco duro, cabezal dañado","Diagnóstico general: Ruidos de raspado en disco duro, cabezal dañado. Se requiere revisión técnica especializada.",Media,Ejecutar CHKDSK y reparación de sectores. Monitorear SMART diariamente.,En diagnóstico,76.51,7.1
2007,Tablet,Amazon,Fire Max 11,Económica,Pantalla,"Pantalla externa no detectada, puerto HDMI dañado","Fallo en sistema de visualización. Pantalla externa no detectada, puerto HDMI dañado. Verificar cable flex y controlador de backlight.",Alta,Reemplazar panel o componente de backlight. Cotizar reparación vs equipo nuevo.,Requiere reemplazo de componente,387.07,22.3
2008,Tablet,Amazon,Fire 7,Profesional,Disco Duro/SSD,Disco muestra advertencia de fallo inminente,Diagnóstico general: Disco muestra advertencia de fallo inminente. Se requiere revisión técnica especializada.,Alta,Respaldar datos y reemplazar disco. Ejecutar recuperación con herramientas especializadas.,En diagnóstico,125.73,23.2
2009,Laptop,HP,EliteBook 840,Premium,Sistema Operativo,"Arranque lento, más de 5 minutos para iniciar sesión","Diagnóstico general: Arranque lento, más de 5 minutos para iniciar sesión. Se requiere revisión técnica especializada.",Crítica,Reinstalación limpia del sistema operativo. Backup completo de datos primero.,Fuera de servicio,22.42,40.8
2010,Tablet,Apple,iPad Pro 12.9 M2,2 en 1,Sistema Operativo,Blue screen SYSTEM_SERVICE_EXCEPTION en Windows 11,Diagnóstico general: Blue screen SYSTEM_SERVICE_EXCEPTION en Windows 11. Se requiere revisión técnica especializada.,Alta,Reparación de arranque con herramientas de recuperación. SFC y DISM.,Reparable,11.62,18.2
2011,Computadora,ASUS,VivoBook 22 Desktop,Torre,Pantalla,"Pantalla con dead zones, zonas que no responden al tacto","Display con defecto. Pantalla con dead zones, zonas que no responden al tacto. Reemplazo de panel recomendado si costo es viable.",Media,Reemplazar cable flex o inverter. Verificar conexión al motherboard.,En diagnóstico,116.51,1.0
2012,Computadora,MSI,Aegis RS 13th,Torre,BIOS,Error de checksum en BIOS al arrancar,Diagnóstico: Corrupción de BIOS. Error de checksum en BIOS al arrancar. Procedimiento: Reflashing con método de recuperación del fabricante.,Alta,Flashear BIOS desde USB con método de recuperación del fabricante. Verificar versión actual.,Requiere reemplazo de componente,71.77,6.9
2013,Laptop,Huawei,MateBook 14s,Empresarial,Pantalla,"Pantalla externa no detectada, puerto HDMI dañado","Fallo en sistema de visualización. Pantalla externa no detectada, puerto HDMI dañado. Verificar cable flex y controlador de backlight.",Crítica,Reemplazo completo de panel LCD/LED. Verificar disponibilidad de repuesto.,Requiere reemplazo de componente,212.44,11.5
2014,Computadora,ASUS,Chromebox 4,Servidor,Conectividad,"Bluetooth no empareja dispositivos, stack dañado","Diagnóstico general: Bluetooth no empareja dispositivos, stack dañado. Se requiere revisión técnica especializada.",Alta,Reinstalar drivers. Verificar antenas internas. Reemplazar módulo M.2 si aplica.,En diagnóstico,43.1,14.2
2015,Laptop,ASUS,ROG Zephyrus G14,Workstation,Motherboard,"Power button connector suelto, motherboard no arranca","Diagnóstico: Motherboard defectuosa. Power button connector suelto, motherboard no arranca. Verificar todas las pistas y componentes SMD.",Alta,Reparación especializada de microsoldadura. Reemplazar componentes SMD dañados.,En diagnóstico,290.66,23.6
2016,Computadora,Custom/Genérica,PC Oficina i5-12400,Torre,Disco Duro/SSD,"SSD con vida útil agotada, escrituras fallidas","Diagnóstico general: SSD con vida útil agotada, escrituras fallidas. Se requiere revisión técnica especializada.",Crítica,Clonar disco inmediatamente si es posible. Reemplazo urgente de unidad. Recuperación de datos profesional.,Requiere reemplazo de componente,243.69,23.8
2017,Computadora,Lenovo,IdeaCentre AIO 3,Servidor,Motherboard,Motherboard no entra en suspensión correctamente,Fallo en placa madre. Motherboard no entra en suspensión correctamente. Evaluar viabilidad de reparación vs reemplazo.,Media,Reparar pista o componente específico. Verificar todos los circuitos de alimentación.,Garantía vigente,464.77,2.4
2018,Laptop,HP,ZBook Firefly,Empresarial,Ventilación,"Ventilador siempre al 100%, sensor de temperatura defectuoso","Diagnóstico general: Ventilador siempre al 100%, sensor de temperatura defectuoso. Se requiere revisión técnica especializada.",Crítica,Reemplazar disipador y ventilador. Reaplicar pasta térmica de calidad. Limpieza completa.,En diagnóstico,69.76,27.9
2019,Computadora,Apple,Mac Pro 2023,Torre,Motherboard,"Placa madre no enciende, sin luz de power","Diagnóstico general: Placa madre no enciende, sin luz de power. Se requiere revisión técnica especializada.",Alta,Reparación especializada de microsoldadura. Reemplazar componentes SMD dañados.,Requiere reemplazo de componente,248.74,4.5
2020,Laptop,Apple,MacBook Pro 16 M3 Pro,Empresarial,Conectividad,"Conexión Ethernet limitada a 10Mbps, negociación fallida","Diagnóstico general: Conexión Ethernet limitada a 10Mbps, negociación fallida. Se requiere revisión técnica especializada.",Alta,Reinstalar drivers. Verificar antenas internas. Reemplazar módulo M.2 si aplica.,En diagnóstico,64.07,18.1
2021,Computadora,Dell,Alienware Aurora R16,SFF,Motherboard,"Southbridge dañado, puertos SATA no responden","Diagnóstico: Puerto defectuoso. Southbridge dañado, puertos SATA no responden. Inspeccionar pines y soldaduras con lupa.",Baja,Limpieza profunda y rethermal. Verificar conexiones y reseat de componentes.,Garantía vigente,314.94,3.7
2022,Computadora,Huawei,MateStation B515,Micro,Disco Duro/SSD,Disco con Bad Blocks en zona crítica del sistema,Diagnóstico general: Disco con Bad Blocks en zona crítica del sistema. Se requiere revisión técnica especializada.,Media,Ejecutar CHKDSK y reparación de sectores. Monitorear SMART diariamente.,Reparable,225.49,2.1
2023,Tablet,Lenovo,Tab P12 Pro,Económica,Batería,Porcentaje de batería salta de 30% a 5% sin aviso,Fallo en sistema de alimentación por batería. Porcentaje de batería salta de 30% a 5% sin aviso. Reemplazo de batería necesario.,Media,Calibrar batería siguiendo procedimiento del fabricante. Verificar ciclo de carga.,Garantía vigente,79.11,6.8
2024,Laptop,Toshiba,Portege Z30,Económica,RAM,Sistema no arranca con los dos módulos RAM instalados,Diagnóstico: Memoria RAM con errores. Sistema no arranca con los dos módulos RAM instalados. Ejecutar MemTest86 para confirmar sector dañado.,Alta,Reemplazar módulo RAM dañado. Probar con módulo nuevo en slot afectado.,En diagnóstico,106.76,6.5
2025,Laptop,Huawei,MateBook E Go,Ultrabook,Disco Duro/SSD,"Disco se desconecta aleatoriamente, cable SATA defectuoso","Diagnóstico general: Disco se desconecta aleatoriamente, cable SATA defectuoso. Se requiere revisión técnica especializada.",Crítica,Clonar disco inmediatamente si es posible. Reemplazo urgente de unidad. Recuperación de datos profesional.,Fuera de servicio,129.95,46.3
2026,Computadora,ASUS,ROG Strix G10,Torre,Batería,Error de comunicación entre batería y ACPI,Problema de energía de batería. Error de comunicación entre batería y ACPI. Evaluar seguridad de uso continuo.,Crítica,Retirar batería inmediatamente por seguridad (inflamación). Usar solo con cargador.,En diagnóstico,33.15,47.7
2027,Laptop,HP,Stream 14,Chromebook,Motherboard,"Fan header dañado, ventilador no gira","Diagnóstico general: Fan header dañado, ventilador no gira. Se requiere revisión técnica especializada.",Alta,Reparación especializada de microsoldadura. Reemplazar componentes SMD dañados.,Requiere reemplazo de componente,119.55,5.8
2028,Tablet,Apple,iPad 10th Gen,Gaming,RAM,RAM DDR4 no arranca a la velocidad XMP especificada,Problema de memoria. RAM DDR4 no arranca a la velocidad XMP especificada. Revisar slots y limpieza de contactos con alcohol isopropílico.,Alta,Reemplazar módulo RAM dañado. Probar con módulo nuevo en slot afectado.,Requiere reemplazo de componente,43.83,19.6
2029,Tablet,ASUS,Chromebook Detachable CZ1,Estándar,Disco Duro/SSD,SSD con escritura lenta después de 80% de capacidad,Diagnóstico general: SSD con escritura lenta después de 80% de capacidad. Se requiere revisión técnica especializada.,Media,Ejecutar CHKDSK y reparación de sectores. Monitorear SMART diariamente.,Garantía vigente,221.4,7.9
2030,Laptop,Apple,MacBook Pro 14 M3 Max,2 en 1,Motherboard,"Pista de señal de reloj dañada, inestabilidad del sistema","Diagnóstico general: Pista de señal de reloj dañada, inestabilidad del sistema. Se requiere revisión técnica especializada.",Media,Reparar pista o componente específico. Verificar todos los circuitos de alimentación.,En diagnóstico,124.61,5.2
2031,Computadora,Acer,Aspire XC,Mini PC,Disco Duro/SSD,"Disco duro con PCB quemada, no recibe alimentación","Diagnóstico general: Disco duro con PCB quemada, no recibe alimentación. Se requiere revisión técnica especializada.",Media,Ejecutar CHKDSK y reparación de sectores. Monitorear SMART diariamente.,Garantía vigente,62.84,6.4
2032,Computadora,Acer,Chromebox CXI5,Micro,RAM,"RAM sobrecalentada, thermal throttling frecuente","Problema de memoria. RAM sobrecalentada, thermal throttling frecuente. Revisar slots y limpieza de contactos con alcohol isopropílico.",Alta,Reemplazar módulo RAM dañado. Probar con módulo nuevo en slot afectado.,Reparable,46.21,8.8
2033,Tablet,Lenovo,Idea Tab K10,Profesional,Sistema Operativo,"Arranque lento, más de 5 minutos para iniciar sesión","Diagnóstico general: Arranque lento, más de 5 minutos para iniciar sesión. Se requiere revisión técnica especializada.",Media,Restaurar sistema a punto anterior. Eliminar software problemático.,En diagnóstico,79.11,5.4
2034,Tablet,Samsung,Galaxy Tab A8,Gaming,BIOS,Voltaje de RAM configurado incorrectamente en BIOS,Fallo en firmware BIOS. Voltaje de RAM configurado incorrectamente en BIOS. Se recomienda reemplazo de chip BIOS.,Crítica,"Retroflash de BIOS con programador externo SPI. Si no es posible, reemplazo de placa madre.",Fuera de servicio,62.68,4.4
2035,Laptop,Toshiba,Satellite C55,Gaming,RAM,Pantalla azul MEMORY_MANAGEMENT al usar múltiples aplicaciones,Problema de display detectado. Pantalla azul MEMORY_MANAGEMENT al usar múltiples aplicaciones. Evaluar reemplazo de panel o componentes asociados.,Alta,Reemplazar módulo RAM dañado. Probar con módulo nuevo en slot afectado.,Requiere reemplazo de componente,115.28,6.7
2036,Laptop,HP,Pavilion Gaming 15,Chromebook,Disco Duro/SSD,"SSD con firmware corrupto, no monta partición","Diagnóstico general: SSD con firmware corrupto, no monta partición. Se requiere revisión técnica especializada.",Baja,Ejecutar optimización de disco. Liberar espacio en SSD para mejorar rendimiento.,Garantía vigente,56.28,0.9
2037,Computadora,MSI,Modern AM241,Servidor,Motherboard,Placa madre con cortocircuito en sección de alimentación,Diagnóstico general: Placa madre con cortocircuito en sección de alimentación. Se requiere revisión técnica especializada.,Media,Reparar pista o componente específico. Verificar todos los circuitos de alimentación.,Garantía vigente,390.74,6.8
2038,Tablet,Lenovo,Tab P11 Pro,Educacional,Motherboard,Motherboard con corrosión por líquido derramado,Fallo de memoria detectado. Motherboard con corrosión por líquido derramado. Se recomienda reemplazar módulo defectuoso.,Media,Reparar pista o componente específico. Verificar todos los circuitos de alimentación.,Reparable,454.86,3.2
2039,Laptop,Huawei,MateBook 14s,Chromebook,Sistema Operativo,Sistema no entra en modo hibernación correctamente,Diagnóstico general: Sistema no entra en modo hibernación correctamente. Se requiere revisión técnica especializada.,Alta,Reparación de arranque con herramientas de recuperación. SFC y DISM.,Reparable,45.5,23.7
2040,Laptop,HP,ZBook Firefly,2 en 1,Fuente de Poder,"Voltaje inestable en riel de 12V, componentes fallan","Diagnóstico general: Voltaje inestable en riel de 12V, componentes fallan. Se requiere revisión técnica especializada.",Baja,Monitorear voltajes. Considerar reemplazo preventivo.,En diagnóstico,49.23,1.9
2041,Computadora,Acer,Veriton X2680G,Gaming,Teclado,Tecla espacio no responde en zona central,Diagnóstico general: Tecla espacio no responde en zona central. Se requiere revisión técnica especializada.,Media,Limpiar contacto de teclas afectadas. Verificar flex de conexión.,En diagnóstico,105.99,1.5
2042,Laptop,Samsung,Galaxy Book3 Ultra,Gaming,Fuente de Poder,Fuente no suministra suficiente energía a GPU dedicada,Diagnóstico: Tarjeta gráfica defectuosa. Fuente no suministra suficiente energía a GPU dedicada. Testear con FurMark para reproducir fallo.,Media,Verificar conexiones y cables. Probar con fuente de respaldo.,Garantía vigente,163.47,6.3
2043,Computadora,Huawei,MateStation B515,Workstation,Disco Duro/SSD,Error de formato al intentar reparar disco,Diagnóstico general: Error de formato al intentar reparar disco. Se requiere revisión técnica especializada.,Media,Ejecutar CHKDSK y reparación de sectores. Monitorear SMART diariamente.,Reparable,153.27,7.3
2044,Computadora,Gigabyte,B550 Vision D,Mini PC,Batería,"Batería se descarga muy rápido, capacidad reducida","Fallo en sistema de alimentación por batería. Batería se descarga muy rápido, capacidad reducida. Reemplazo de batería necesario.",Alta,Reemplazar batería con original de fabricante. No usar baterías genéricas.,En diagnóstico,147.55,11.4
2045,Laptop,HP,EliteBook 650,Workstation,Sistema Operativo,"Windows Update en bucle, descarga infinita","Diagnóstico general: Windows Update en bucle, descarga infinita. Se requiere revisión técnica especializada.",Alta,Reparación de arranque con herramientas de recuperación. SFC y DISM.,En diagnóstico,77.07,14.8
2046,Laptop,HP,ProBook 450,Económica,Ventilación,"Heat pipe dañado, calor no se disipa correctamente","Diagnóstico general: Heat pipe dañado, calor no se disipa correctamente. Se requiere revisión técnica especializada.",Baja,Limpieza preventiva y monitoreo de temperaturas. Ajustar curva de ventilador.,En diagnóstico,75.64,3.0
2047,Computadora,Acer,Veriton X2680G,Torre,Ventilación,"Ventilador no arranca al encender, motor quemado","Diagnóstico general: Ventilador no arranca al encender, motor quemado. Se requiere revisión técnica especializada.",Alta,Limpiar obstrucciones y reaplicar pasta térmica. Verificar heat pipes.,Requiere reemplazo de componente,30.75,10.0
2048,Laptop,MSI,Modern 14,Gaming,Teclado,"Teclado repite caracteres, debounce defectuoso","Teclado con malfunction. Teclado repite caracteres, debounce defectuoso. Verificar flex de conexión y controlador.",Baja,Limpiar tecla específica o reemplazar keycap. Verificar configuración de idioma.,En diagnóstico,149.08,2.6
2049,Laptop,Huawei,MateBook D15,Gaming,Teclado,Tecla espacio no responde en zona central,Diagnóstico general: Tecla espacio no responde en zona central. Se requiere revisión técnica especializada.,Alta,Reemplazar teclado completo. Verificar si hay daño adicional por líquido.,Requiere reemplazo de componente,91.25,19.9
2050,Tablet,Amazon,Fire 7,Profesional,Motherboard,"No hay vídeo, GPU integrada de motherboard fallida","Componente de motherboard dañado. No hay vídeo, GPU integrada de motherboard fallida. Se requiere microsoldadura especializada.",Media,Reparar pista o componente específico. Verificar todos los circuitos de alimentación.,Garantía vigente,484.78,3.2
2051,Computadora,Custom/Genérica,PC Workstation Xeon,SFF,Conectividad,"WiFi no detecta redes, adaptador inalámbrico dañado","Diagnóstico general: WiFi no detecta redes, adaptador inalámbrico dañado. Se requiere revisión técnica especializada.",Alta,Reinstalar drivers. Verificar antenas internas. Reemplazar módulo M.2 si aplica.,En diagnóstico,20.81,10.9
2052,Computadora,Lenovo,Legion Tower 7i,Gaming,RAM,"Fallo en test de memoria Windows, errores detectados","Diagnóstico general: Fallo en test de memoria Windows, errores detectados. Se requiere revisión técnica especializada.",Media,Limpiar contactos con alcohol isopropílico. Reubicar módulos en slots diferentes.,En diagnóstico,74.74,1.9
2053,Tablet,Lenovo,Tab M11,Profesional,BIOS,BIOS no guarda cambios después de guardar y salir,Problema de configuración BIOS. BIOS no guarda cambios después de guardar y salir. Solución: Reset de configuración y actualización de firmware.,Media,Reset de CMOS y reconfiguración de BIOS. Actualizar a última versión estable.,Garantía vigente,45.43,7.6
2054,Tablet,Lenovo,Tab M8,Económica,RAM,"RAM no funciona en dual channel, módulo incompatible","Error de memoria RAM. RAM no funciona en dual channel, módulo incompatible. Verificar compatibilidad y velocidad de módulos.",Crítica,Reemplazo inmediato de módulo RAM defectuoso. Verificar compatibilidad con placa madre.,Requiere reemplazo de componente,44.29,19.1
2055,Tablet,Samsung,Galaxy Tab S6 Lite,Profesional,Puertos,"Puerto de audio con estática, jack dañado","Audio no funcional. Puerto de audio con estática, jack dañado. Reinstalar drivers Realtek/AMD y verificar servicios de audio.",Media,Limpiar puerto con aire comprimido. Verificar drivers del controlador USB.,Garantía vigente,102.49,2.6
2056,Laptop,ASUS,ZenBook 14,2 en 1,Pantalla,"Pantalla externa no detectada, puerto HDMI dañado","Pantalla defectuosa. Pantalla externa no detectada, puerto HDMI dañado. Inspeccionar conexiones y testear con pantalla externa.",Crítica,Reemplazo completo de panel LCD/LED. Verificar disponibilidad de repuesto.,Fuera de servicio,252.44,34.8
2057,Computadora,MSI,Cubi 5,Mini PC,Conectividad,"WiFi no enciende, switch físico o función FN dañada","Diagnóstico general: WiFi no enciende, switch físico o función FN dañada. Se requiere revisión técnica especializada.",Baja,Resetear adaptador de red. Olvidar y reconectar redes WiFi.,Reparable,28.92,4.0
2058,Laptop,Huawei,MateBook E Go,Gaming,Batería,Controlador de carga de batería defectuoso,Problema de energía de batería. Controlador de carga de batería defectuoso. Evaluar seguridad de uso continuo.,Alta,Reemplazar batería con original de fabricante. No usar baterías genéricas.,En diagnóstico,142.42,10.9
2059,Computadora,Custom/Genérica,PC Gaming RTX 4070,All-in-One,GPU,"Rayos y artefactos en pantalla al iniciar juegos, GPU dañada","Display con defecto. Rayos y artefactos en pantalla al iniciar juegos, GPU dañada. Reemplazo de panel recomendado si costo es viable.",Media,Reinstalar drivers con DDU. Verificar temperatura y ventilación de GPU.,Garantía vigente,463.01,3.9
2060,Laptop,MSI,Summit E16,2 en 1,GPU,"Driver de GPU no instala, hardware no compatible","Problema de vídeo por GPU. Driver de GPU no instala, hardware no compatible. Verificar alimentación PCIe y conectores de poder.",Crítica,"Reemplazo de GPU dedicada. Si es integrada, reemplazo de motherboard.",Requiere reemplazo de componente,347.13,43.2
2061,Computadora,Huawei,MateStation B515,Torre,Conectividad,"Interferencia WiFi por tarjeta gráfica, antena mal posicionada","Diagnóstico general: Interferencia WiFi por tarjeta gráfica, antena mal posicionada. Se requiere revisión técnica especializada.",Media,Actualizar drivers y firmware. Verificar configuración de red.,En diagnóstico,80.22,2.4
2062,Tablet,Microsoft,Surface Pro 9,Profesional,BIOS,"Pantalla negra al encender, BIOS no inicializa vídeo","Diagnóstico: Corrupción de BIOS. Pantalla negra al encender, BIOS no inicializa vídeo. Procedimiento: Reflashing con método de recuperación del fabricante.",Alta,Flashear BIOS desde USB con método de recuperación del fabricante. Verificar versión actual.,Reparable,110.83,22.5
2063,Tablet,Apple,iPad Pro 12.9 M2,Económica,GPU,"Rayos y artefactos en pantalla al iniciar juegos, GPU dañada","Diagnóstico: Panel o componentes de pantalla dañados. Rayos y artefactos en pantalla al iniciar juegos, GPU dañada. Probar con monitor externo para descartar GPU.",Alta,Reflow o reball de GPU. Reemplazar pasta térmica. Verificar alimentación.,Requiere reemplazo de componente,470.44,19.1
2064,Tablet,ASUS,ZenPad Z8s,Profesional,Puertos,"Puerto de audio con estática, jack dañado","Audio no funcional. Puerto de audio con estática, jack dañado. Reinstalar drivers Realtek/AMD y verificar servicios de audio.",Media,Limpiar puerto con aire comprimido. Verificar drivers del controlador USB.,Reparable,101.32,5.6
2065,Laptop,ASUS,TUF Gaming A15,Económica,BIOS,"Pantalla negra al encender, BIOS no inicializa vídeo","Error de inicialización de BIOS detectado. Pantalla negra al encender, BIOS no inicializa vídeo. Verificar batería CMOS y versión de firmware.",Alta,Flashear BIOS desde USB con método de recuperación del fabricante. Verificar versión actual.,En diagnóstico,48.27,10.7
2066,Computadora,Apple,iMac 24 M3,Torre,GPU,GPU integrada causa parpadeo en pantalla,Fallo en sistema de visualización. GPU integrada causa parpadeo en pantalla. Verificar cable flex y controlador de backlight.,Media,Reinstalar drivers con DDU. Verificar temperatura y ventilación de GPU.,En diagnóstico,80.83,4.2
2067,Tablet,Xiaomi,Pad 5 Pro 5G,Estándar,Motherboard,BIOS chip dañado físicamente en la motherboard,Diagnóstico: Corrupción de BIOS. BIOS chip dañado físicamente en la motherboard. Procedimiento: Reflashing con método de recuperación del fabricante.,Crítica,Reemplazo de placa madre. Evaluar costo vs equipo nuevo. Rescatar componentes reutilizables.,Fuera de servicio,198.72,36.4
2068,Laptop,MSI,Raider GE78,Workstation,Disco Duro/SSD,Partición de recuperación inaccesible en disco,Diagnóstico general: Partición de recuperación inaccesible en disco. Se requiere revisión técnica especializada.,Alta,Respaldar datos y reemplazar disco. Ejecutar recuperación con herramientas especializadas.,Reparable,234.91,10.7
2069,Laptop,ASUS,ROG Strix G16,Workstation,Teclado,"Fn keys no funcionan, controlador ACPI dañado","Diagnóstico general: Fn keys no funcionan, controlador ACPI dañado. Se requiere revisión técnica especializada.",Media,Limpiar contacto de teclas afectadas. Verificar flex de conexión.,Garantía vigente,148.11,4.9
2070,Laptop,Lenovo,ThinkPad T14,Empresarial,Conectividad,"WiFi no enciende, switch físico o función FN dañada","Diagnóstico general: WiFi no enciende, switch físico o función FN dañada. Se requiere revisión técnica especializada.",Baja,Resetear adaptador de red. Olvidar y reconectar redes WiFi.,En diagnóstico,73.17,1.4
2071,Tablet,Lenovo,Tab M8,eReader,Fuente de Poder,"Reinicios aleatorios bajo carga, PSU insuficiente","Diagnóstico general: Reinicios aleatorios bajo carga, PSU insuficiente. Se requiere revisión técnica especializada.",Media,Verificar conexiones y cables. Probar con fuente de respaldo.,Reparable,107.56,3.2
2072,Laptop,ASUS,ProArt StudioBook,Económica,Conectividad,"Bluetooth no funciona, módulo no detectado","Diagnóstico general: Bluetooth no funciona, módulo no detectado. Se requiere revisión técnica especializada.",Alta,Reinstalar drivers. Verificar antenas internas. Reemplazar módulo M.2 si aplica.,Requiere reemplazo de componente,75.72,13.6
2073,Computadora,Custom/Genérica,PC Workstation Xeon,Mini PC,Pantalla,"Pantalla con artefactos coloridos, GPU o panel defectuoso","Diagnóstico: Panel o componentes de pantalla dañados. Pantalla con artefactos coloridos, GPU o panel defectuoso. Probar con monitor externo para descartar GPU.",Media,Reemplazar cable flex o inverter. Verificar conexión al motherboard.,Garantía vigente,113.1,6.3
2074,Laptop,Acer,TravelMate P2,2 en 1,GPU,"Cuelgues al usar aplicaciones 3D, GPU sobrecalentada","Problema de vídeo por GPU. Cuelgues al usar aplicaciones 3D, GPU sobrecalentada. Verificar alimentación PCIe y conectores de poder.",Crítica,"Reemplazo de GPU dedicada. Si es integrada, reemplazo de motherboard.",En diagnóstico,453.54,29.6
2075,Laptop,ASUS,TUF Gaming A15,Workstation,Teclado,"Fn keys no funcionan, controlador ACPI dañado","Diagnóstico general: Fn keys no funcionan, controlador ACPI dañado. Se requiere revisión técnica especializada.",Baja,Limpiar tecla específica o reemplazar keycap. Verificar configuración de idioma.,Reparable,100.97,3.8
2076,Computadora,MSI,Infinite RS 13th,SFF,RAM,"Pitidos continuos al encender, módulo RAM defectuoso","Fallo de memoria detectado. Pitidos continuos al encender, módulo RAM defectuoso. Se recomienda reemplazar módulo defectuoso.",Baja,Ejecutar diagnóstico de memoria extendido. Monitorear en próximos días.,Garantía vigente,57.41,3.1
2077,Computadora,Gigabyte,B550 Vision D,Servidor,Ventilación,"Sistema hace throttle térmico, disipador obstruido","Diagnóstico general: Sistema hace throttle térmico, disipador obstruido. Se requiere revisión técnica especializada.",Media,Limpieza de polvo con aire comprimido. Verificar RPM del ventilador.,Reparable,39.67,6.2
2078,Laptop,MSI,Katana 15,Empresarial,GPU,"Rayos y artefactos en pantalla al iniciar juegos, GPU dañada","Display con defecto. Rayos y artefactos en pantalla al iniciar juegos, GPU dañada. Reemplazo de panel recomendado si costo es viable.",Crítica,"Reemplazo de GPU dedicada. Si es integrada, reemplazo de motherboard.",En diagnóstico,417.98,10.1
2079,Computadora,Apple,Mac Pro 2023,Gaming,Pantalla,"Pantalla parpadea constantemente, inverter defectuoso","Pantalla defectuosa. Pantalla parpadea constantemente, inverter defectuoso. Inspeccionar conexiones y testear con pantalla externa.",Media,Reemplazar cable flex o inverter. Verificar conexión al motherboard.,Garantía vigente,61.39,6.4
2080,Tablet,Xiaomi,Pad 6 Pro,2 en 1,Ventilación,"Ventilador vibra anormalmente, aspas desbalanceadas","Diagnóstico general: Ventilador vibra anormalmente, aspas desbalanceadas. Se requiere revisión técnica especializada.",Baja,Limpieza preventiva y monitoreo de temperaturas. Ajustar curva de ventilador.,Garantía vigente,26.14,1.5
2081,Tablet,Amazon,Fire Max 11,Educacional,Disco Duro/SSD,"Ruidos de raspado en disco duro, cabezal dañado","Diagnóstico general: Ruidos de raspado en disco duro, cabezal dañado. Se requiere revisión técnica especializada.",Baja,Ejecutar optimización de disco. Liberar espacio en SSD para mejorar rendimiento.,Garantía vigente,164.24,0.8
2082,Computadora,Gigabyte,AORUS Model S,Torre,Ventilación,"Ventilador siempre al 100%, sensor de temperatura defectuoso","Diagnóstico general: Ventilador siempre al 100%, sensor de temperatura defectuoso. Se requiere revisión técnica especializada.",Baja,Limpieza preventiva y monitoreo de temperaturas. Ajustar curva de ventilador.,Garantía vigente,15.25,1.5
2083,Laptop,Samsung,Galaxy Book2 360,Premium,Puertos,"Puerto de audio con estática, jack dañado","Diagnóstico: Circuito de audio defectuoso. Puerto de audio con estática, jack dañado. Verificar codec de audio y conexiones.",Media,Limpiar puerto con aire comprimido. Verificar drivers del controlador USB.,Garantía vigente,58.57,6.6
2084,Laptop,Acer,Nitro 5,Workstation,Disco Duro/SSD,Partición de recuperación inaccesible en disco,Diagnóstico general: Partición de recuperación inaccesible en disco. Se requiere revisión técnica especializada.,Alta,Respaldar datos y reemplazar disco. Ejecutar recuperación con herramientas especializadas.,Reparable,125.43,5.8
2085,Tablet,Samsung,Galaxy Tab S9 Ultra,Económica,Motherboard,"VRM de motherboard sobrecalentado, throttling severo","Componente de motherboard dañado. VRM de motherboard sobrecalentado, throttling severo. Se requiere microsoldadura especializada.",Alta,Reparación especializada de microsoldadura. Reemplazar componentes SMD dañados.,En diagnóstico,364.75,23.4
